908 German|||3|||4
210 Natural|||3|||4
592 Massachusetts|||4|||4
397 16|||4|||6
837 Senegal|||4|||5
233 Companion|||4|||8
389 Voting|||4|||4
692 Arch|||5|||7
721 Estonia|||5|||11
465 Eight|||5|||5
576 Matahari|||3|||3
461 Bancomext|||3|||5
223 Deutsche|||4|||4
857 Thai|||4|||8
581 Kansas|||4|||4
70 Garlic|||4|||5
149 SOCCER|||4|||5
551 Faulding|||4|||4
924 Siam|||4|||5
56 SOCCER|||5|||5
207 Kurd|||12|||15
578 Hong|||13|||13
132 TENNIS|||13|||17
813 BASKETBALL|||13|||15
511 Tamils|||13|||15
829 BRITAIN|||15|||15
547 COFINEC|||15|||16
331 SOCCER|||15|||15
702 Rugby|||15|||20
647 SOCCER|||15|||21
570 Venezuela|||4|||17
590 Puerto|||4|||4
865 Help-wanted|||4|||7
777 RTRS|||4|||5
246 GOLF|||4|||4
208 SOLIDERE|||4|||9
568 Brazil|||4|||7
776 NZ|||4|||4
910 Thieves|||5|||5
113 India|||5|||7
120 Thais|||8|||8
926 S.|||9|||12
520 SOCCER|||9|||11
700 UK|||9|||9
85 Lebed|||9|||10
920 Earthquake|||10|||11
756 Italian|||10|||12
457 Yeltsin|||10|||10
479 U.S.|||11|||16
792 Palestinian|||11|||11
816 BASEBALL|||7|||7
882 SoCal|||7|||7
468 RTRS|||7|||8
423 SOCCER|||7|||22
611 Swiss|||7|||9
940 SOCCER|||8|||10
341 SOCCER|||8|||22
385 Saudi|||8|||8
830 U.S.|||8|||12
800 French|||9|||11
39 SOCCER|||20|||20
270 SOCCER|||23|||23
166 CRICKET|||24|||25
146 BASEBALL|||24|||26
842 Kornblum|||25|||43
109 India|||27|||36
94 Australia|||27|||32
37 CRICKET|||27|||29
598 Islamists|||28|||33
665 BASEBALL|||29|||32
832 Rugby|||15|||16
374 Rugby|||16|||20
601 Nepal|||16|||17
256 TENNIS|||16|||18
348 BASEBALL|||17|||17
257 RUGBY|||17|||18
